岑建勋, "奇谋妙计五福星"中饰演"卷毛积"
陈紫函, 苏有朋版"倚天屠龙记"中饰演"殷离"
陈红_演员, "三国演义"中饰演"貂蝉"
陈红_歌手, "常回家看看"演唱者
陈继铭,
陈绮贞, "私奔到月球"演唱者
陈维涵,
陈美琪, "新白娘子传奇"中饰演"小青"
陈美行,
陈羽凡, "羽泉"成员
陈翔,
陈若仪,
陈若轩,
陈英俊,
陈荣竣, "天龙八部"中饰演"全冠清"
陈莹, "还珠格格"中饰演"柳红"
陈虎,
陈西贝,
陈豪,
陈赫, "爱情公寓"中饰演"曾小贤"
陈辰,
陈逸恒,
陈道明, "康熙王朝"中饰演"康熙"
陈都灵, "七月与安生"中饰演"林七月"
陈钰琪, "香蜜沉沉烬如霜"中饰演"鎏英"
陈锦鸿, 99版"雪山飞狐"中饰演"胡斐"
陈键锋,
陈雅婷,
陈静,
陈静仪,
陈骁, 
陈鲁豫, 主持人
陈龙, "琅琊榜"中饰演"蒙挚"
陈妙瑛, 张卫健版"西游记"中饰演"白骨精"
陈安莹, "天龙八部"中饰演"天山童姥"
陈剑月, "红楼梦"中饰演"香菱"
陈少霞, 陈小春版"鹿鼎记"中饰演"双儿"
陈更, "中国诗词大会"
陈嘉桦, "SHE"成员
陈小云, "爱人跟人走"演唱者
陈启泰, "疯人院"中饰演"匡人禾"
陈国坤, 电影"功夫"中饰演"琛哥"
陈秀丽, 苏有朋版"倚天屠龙记"中饰演"小昭"
陈冲, "末代皇帝"中饰演"婉容"
陈雪凝, "你的酒馆对我打了烊"演唱者
陈哲远, 2020版"绝代双骄"中饰演"小鱼儿"
陈松伶, "只有梦里来去"演唱者
陈安琪, 陈小春版"鹿鼎记"中饰演"曾柔"
陈莎莉, "大汉天子"中饰演"太皇太后"
陈岚, "向华强"妻子
陈大愚, "陈佩斯"之子
