赖霖枫, 115网盘
蓝烨, 联想
雷军, 小米
雷鸣, 酷我
黎万强, 小米
李斌_蔚来, 蔚来
李楚源, 广药
李东生, TCL
李国庆, 当当
李嘉诚, 长江和记
李经纬, 健力宝
李开复, 投资人
李明远, 
李善友, 酷六
李申申, 知乎
李书福, 吉利
李想, 汽车之家
李笑来,
李学凌, YY
李彦宏, 百度
李泽楷, 电信盈科
李志飞, 出门问问
梁建章, 携程
梁稳根, 三一重工
林百里, 广达电脑
林元庆, 百度
刘成城, 36氪
刘炽平, 腾讯
刘国清, Minieye
刘立荣, 金立
刘銮雄, 
刘强东, 京东
刘庆峰, 科大讯飞
刘胜义, 腾讯
刘永行, 东方希望
刘永好, 新希望
刘长乐, 凤凰卫视
刘自鸿, 柔宇科技
刘作虎, 一加
柳传志, 联想
柳青, 滴滴
卢伟冰, 红米
鲁冠球, 万向
陆兆禧, 阿里巴巴
陆奇, Y Combinator中国
陆正耀, 瑞幸咖啡
罗永浩, 锤子科技
骆海坚, 4399
